ID,Contract,Player,Column1,Team,Position,Status,Age,Opponent,Salary,FPts,FP/G,Ros,,
*06bup*,ELC3,Kaden Hammell,Hammell,SEA,D,FA,20,,"525,000",0,0,8%,,"06bup,ELC3"
*06tmp*,ELC1,Carlos Handel,Handel,MTL,D,FA,18,,"525,000",0,0,13%,,"06tmp,ELC1"
*06h7t*,ELC2,Finn Harding,Harding,PIT,D,FA,20,,"525,000",0,0,8%,,"06h7t,ELC2"
*06pzf*,ELC1,Love Harenstam,Harenstam,STL,G,FA,18,,"525,000",0,0,15%,,"06pzf,ELC1"
*06be4*,ELC3,Ethan Hay,Hay,TBL,C,FA,20,,"525,000",0,0,2%,,"06be4,ELC3"
*06uz2*,ELC1,Travis Hayes,Hayes,PIT,RW,FA,17,,"525,000",0,0,5%,,"06uz2,ELC1"
*06mbi*,ELC2,Kevin He,He,WPG,LW,FA,19,,"525,000",0,0,22%,,"06mbi,ELC2"
*06pdu*,ELC1,Caleb Heil,Heil,TBL,G,FA,19,,"525,000",0,0,6%,,"06pdu,ELC1"
*06bdq*,ELC3,Beckett Hendrickson,Hendrickson,BOS,LW,FA,20,,"525,000",0,0,10%,,"06bdq,ELC3"
*06mjp*,ELC2,Tanner Henricks,Henricks,CBJ,D,FA,18,,"525,000",0,0,5%,,"06mjp,ELC2"
*06ckw*,ELC3,Ty Henricks,Henricks,NYR,LW,FA,20,,"525,000",0,0,2%,,"06ckw,ELC3"
*06mqy*,ELC2,Ty Henry,Henry,CHI,D,FA,18,,"525,000",0,0,0%,,"06mqy,ELC2"
*06pyi*,ELC1,Logan Hensler,Hensler,OTT,D,FA,18,,"525,000",0,0,32%,,"06pyi,ELC1"
*06oxx*,ELC1,Caeden Herrington,Herrington,LAK,D,FA,19,,"525,000",0,0,8%,,"06oxx,ELC1"
*06spx*,ELC1,Gustav Hillstrom,Hillstrom,NJD,C,FA,18,,"525,000",0,0,23%,,"06spx,ELC1"
*06tms*,ELC1,Stepan Hoch,Hoch,UTA,LW,FA,18,,"525,000",0,0,10%,,"06tms,ELC1"
*06mcp*,ELC2,Miroslav Holinka,Holinka,TOR,"C,RW",FA,19,,"525,000",0,0,10%,,"06mcp,ELC2"
*06ung*,ELC1,Burke Hood,Hood,NYI,G,FA,18,,"525,000",0,0,15%,,"06ung,ELC1"
*06sq7*,ELC1,Tyler Hopkins,Hopkins,TOR,C,FA,18,,"525,000",0,0,15%,,"06sq7,ELC1"
*06axx*,ELC1,Will Horcoff,Horcoff,PIT,C,FA,18,,"525,000",0,0,28%,,"06axx,ELC1"
*06mgs*,ELC2,Vojtech Hradec,Hradec,UTA,C,FA,19,,"525,000",0,0,8%,,"06mgs,ELC2"
*06pyq*,ELC1,Alex Huang,Huang,NSH,D,FA,17,,"525,000",0,0,13%,,"06pyq,ELC1"
*06lod*,ELC2,Christian Humphreys,Humphreys,COL,C,FA,19,,"525,000",0,0,18%,,"06lod,ELC2"
*06clf*,ELC3,Axel Hurtig,Hurtig,CGY,D,FA,20,,"525,000",0,0,0%,,"06clf,ELC3"
*06clb*,ELC3,Mikhail Ilyin,Ilyin,PIT,"LW,RW",FA,20,,"525,000",0,0,40%,,"06clb,ELC3"
*06tmr*,ELC1,Dmitry Isayev,Isayev,OTT,LW,FA,18,,"525,000",0,0,10%,,"06tmr,ELC1"
*06cg6*,ELC3,Nikita Ishimnikov,Ishimnikov,COL,D,FA,20,,"525,000",0,0,0%,,"06cg6,ELC3"
*06gk1*,ELC1,Jack Ivankovic,Ivankovic,NSH,G,FA,18,,"525,000",0,0,41%,,"06gk1,ELC1"
*06mqh*,ELC2,Eric Jamieson,Jamieson,CGY,D,FA,19,,"525,000",0,0,2%,,"06mqh,ELC2"
*06bdo*,ELC3,Emil Jarventie,Jarventie,PIT,LW,FA,20,,"525,000",0,0,8%,,"06bdo,ELC3"
*06ll3*,ELC2,Adam Jecho,Jecho,STL,RW,FA,19,,"525,000",0,0,30%,,"06ll3,ELC2"
*06miv*,ELC2,Loke Johansson,Johansson,BOS,D,FA,19,,"525,000",0,0,10%,,"06miv,ELC2"
*06mr2*,ELC2,Victor Johansson,Johansson,TOR,D,FA,19,,"525,000",0,0,8%,,"06mr2,ELC2"
*06mjg*,ELC1,Ludvig Johnson,Johnson,UTA,D,FA,18,,"525,000",0,0,8%,,"06mjg,ELC1"
*06sq1*,ELC1,Atte Joki,Joki,DAL,C,FA,17,,"525,000",0,0,10%,,"06sq1,ELC1"
*06mcf*,ELC2,Ollie Josephson,Josephson,SEA,LW,FA,18,,"525,000",0,0,12%,,"06mcf,ELC2"
*06cds*,ELC3,Jacob Julien,Julien,WPG,"C,RW",FA,20,,"525,000",0,0,8%,,"06cds,ELC3"
*06cll*,ELC3,Kalle Kangas,Kangas,PIT,D,FA,20,,"525,000",0,0,0%,,"06cll,ELC3"
*06c3x*,ELC3,Arttu Karki,Karki,VGK,D,FA,20,,"525,000",0,0,15%,,"06c3x,ELC3"
*06c3z*,ELC3,Daniil Karpovich,Karpovich,NJD,D,FA,20,,"525,000",0,0,2%,,"06c3z,ELC3"
*06bng*,ELC3,Larry Keenan,Keenan,DET,D,FA,20,,"525,000",0,0,8%,,"06bng,ELC3"
*06ce2*,ELC3,Antoine Keller,Keller,WSH,G,FA,20,,"525,000",0,0,6%,,"06ce2,ELC3"
*06mbc*,ELC2,Nick Kempf,Kempf,WSH,G,FA,19,,"525,000",0,0,18%,,"06mbc,ELC2"
*06c4a*,ELC3,Sean Keohane,Keohane,BUF,D,FA,20,,"525,000",0,0,8%,,"06c4a,ELC3"
*06sqt*,ELC1,Peyton Kettles,Kettles,PIT,D,FA,17,,"525,000",0,0,20%,,"06sqt,ELC1"
*06pyx*,ELC1,Ben Kevan,Kevan,NJD,RW,FA,18,,"525,000",0,0,28%,,"06pyx,ELC1"
*06l22*,ELC2,Makar Khanin,Khanin,MTL,LW,FA,20,,"525,000",0,0,5%,,"06l22,ELC2"
*06c31*,ELC3,Ruslan Khazheyev,Khazheyev,CAR,G,FA,20,,"525,000",0,0,21%,,"06c31,ELC3"
*066q0*,ELC3,Jesse Kiiskinen,Kiiskinen,DET,RW,FA,19,,"525,000",0,0,35%,,"066q0,ELC3"
*06snb*,ELC1,Benjamin Kindel,Kindel,PIT,RW,FA,18,,"525,000",0,0,35%,,"06snb,ELC1"
*06c56*,ELC1,Justin Kipkie,Kipkie,MIN,D,FA,19,,"525,000",0,0,10%,,"06c56,ELC1"
*06hcv*,ELC2,Christian Kirsch,Kirsch,SJS,G,FA,19,,"525,000",0,0,9%,,"06hcv,ELC2"
*06mbn*,ELC2,Adam Kleber,Kleber,BUF,D,FA,19,,"525,000",0,0,22%,,"06mbn,ELC2"
*06cl2*,ELC3,David Klee,Klee,SJS,C,FA,20,,"525,000",0,0,0%,,"06cl2,ELC3"
*06pyn*,ELC1,Viktor Klingsell,Klingsell,WPG,LW,FA,18,,"525,000",0,0,15%,,"06pyn,ELC1"
*0618g*,ELC3,Cole Knuble,Knuble,PHI,RW,FA,20,,"525,000",0,0,18%,,"0618g,ELC3"
*06mhk*,ELC2,Timur Kol,Kol,CAR,D,FA,18,,"525,000",0,0,12%,,"06mhk,ELC2"
*06spz*,ELC1,Mads Kongsbak Klyvo,Kongsbak Klyvo,FLA,LW,FA,18,,"525,000",0,0,13%,,"06spz,ELC1"
*06mqu*,ELC2,Yaroslav Korostelyov,Korostelyov,SJS,G,FA,19,,"525,000",0,0,6%,,"06mqu,ELC2"
*06mcs*,ELC2,Matvei Korotky,Korotky,STL,C,FA,19,,"525,000",0,0,12%,,"06mcs,ELC2"
*06mmv*,ELC2,Ondrej Kos,Kos,STL,LW,FA,19,,"525,000",0,0,10%,,"06mmv,ELC2"
*06clm*,ELC3,Kristian Kostadinski,Kostadinski,BOS,D,FA,20,,"525,000",0,0,0%,,"06clm,ELC3"
*06mpe*,ELC2,Andrey Krutov,Krutov,CAR,LW,FA,19,,"525,000",0,0,15%,,"06mpe,ELC2"
*06buu*,ELC3,Rasmus Kumpulainen,Kumpulainen,MIN,"C,LW",FA,19,,"525,000",0,0,18%,,"06buu,ELC3"
*06uy3*,ELC1,Jacob Kvasnicka,Kvasnicka,NYI,C,FA,17,,"525,000",0,0,3%,,"06uy3,ELC1"
*06tb4*,ELC1,Noah Laberge,Laberge,BUF,D,FA,18,,"525,000",0,0,8%,,"06tb4,ELC1"
*06sqr*,ELC1,Tommy Lafreniere,Lafreniere,EDM,C,FA,18,,"525,000",0,0,12%,,"06sqr,ELC1"
*06mqe*,ELC2,Ludvig Lafton,Lafton,UTA,D,FA,19,,"525,000",0,0,2%,,"06mqe,ELC2"
